count, time, abs_prox_x, abs_prox_y, abs_prox_z, 
506, 253000, -133.555, 32.648, -0.375, 
506, 253000, -123.425, 16.070,  1.201, 
506, 253000, -131.647, 22.464,  0.123, 
506, 253000, -135.241, 29.987,  0.124, 

507, 253500, -133.803, 32.273, -0.320, 
507, 253500, -123.746, 15.916,  1.181, 
507, 253500, -131.729, 22.473,  0.234, 
507, 253500, -138.444, 17.784,  0.930, 
507, 253500, -123.030, 24.992,  0.424, 

508, 254000, -134.068, 31.824, -0.447, 
508, 254000, -131.769, 22.474,  0.222, 
508, 254000, -134.651, 31.450, -0.006, 
508, 254000, -134.241, 31.526, -0.385, 
508, 254000, -134.802, 30.992, -0.009, 

509, 254500, -134.301, 31.423, -0.383, 
509, 254500, -131.726, 22.498,  0.306, 
509, 254500, -134.791, 30.955, -0.006, 
509, 254500, -135.359, 12.926,  0.486, 
509, 254500, -129.509, 25.079, -0.011, 
509, 254500, -135.248, 29.930,  0.045, 

510, 255000, -134.647, 30.775, -0.383, 
510, 255000, -131.901, 22.442,  0.291, 
510, 255000, -134.683, 31.360, -0.057, 
510, 255000, -123.131, 24.853, -0.021, 
510, 255000, -138.652, 17.832,  0.839, 
510, 255000, -135.246, 29.957, -0.006, 

511, 255500, -134.957, 30.209, -0.390, 
511, 255500, -131.970, 22.407,  0.094, 
511, 255500, -134.801, 30.498, -0.382, 
511, 255500, -138.781, 17.909,  1.117, 
511, 255500, -135.257, 29.970, -0.006, 
511, 255500, -129.599, 24.995, -0.010, 

512, 256000, -135.211, 29.611, -0.382, 
512, 256000, -131.827, 22.397,  0.082, 
512, 256000, -123.143, 24.746,  0.135, 

513, 256500, -135.394, 29.241, -0.385, 
513, 256500, -132.047, 22.407,  0.083, 
513, 256500, -123.259, 24.534,  0.134, 
513, 256500, -118.479, 18.720,  1.073, 
513, 256500, -135.342, 29.832,  0.116, 
513, 256500, -135.641, 29.102, -0.054, 
513, 256500, -135.250, 29.567, -0.384, 

514, 257000, -135.599, 28.757, -0.387, 
514, 257000, -132.192, 22.325,  0.157, 
514, 257000, -136.663, 16.325,  0.339, 

515, 257500, -135.655, 28.640, -0.455, 
515, 257500, -132.280, 22.277,  0.227, 
515, 257500, -135.772, 29.007, -0.057, 

516, 258000, -130.148, 24.397,  0.059, 
516, 258000, -132.662, 22.192,  0.145, 

517, 258500, -132.663, 22.189,  0.208, 
517, 258500, -137.870, 18.486,  0.126, 
517, 258500, -128.709, 18.703,  0.387, 
517, 258500, -123.733, 23.350,  0.132, 

518, 259000, -132.678, 22.150,  0.251, 

519, 259500, -132.593, 22.142, -0.009, 
519, 259500, -137.214, 19.514,  0.226, 
519, 259500, -130.073, 24.421,  0.156, 
519, 259500, -124.001,  9.421,  1.363, 

520, 260000, -137.134, 20.117,  0.378, 
520, 260000, -130.080, 24.313, -0.007, 

521, 260500, -136.922, 20.686,  0.453, 
521, 260500, -123.517, 24.054,  0.702, 
521, 260500, -132.314, 22.196, -0.080, 
521, 260500, -132.346, 22.195,  0.279, 

522, 261000, -123.565, 23.750,  0.131, 
522, 261000, -132.390, 22.162,  0.112, 

523, 261500, -123.604, 23.648,  0.401, 
523, 261500, -132.472, 22.166,  0.198, 
523, 261500, -137.159, 22.197,  0.147, 
523, 261500, -130.079, 24.405, -0.134, 
523, 261500, -132.229,  5.449,  1.269, 

524, 262000, -123.593, 23.656,  0.130, 
524, 262000, -132.501, 22.132,  0.156, 
524, 262000, -137.029, 22.847,  0.330, 
524, 262000, -133.895, 25.921, -0.010, 
524, 262000, -133.809, 25.979, -0.141, 
524, 262000, -133.942, 25.805, -0.011, 
524, 262000, -133.828, 26.016, -0.009, 
524, 262000, -137.519, 23.122,  0.257, 

525, 262500, -123.599, 23.654,  0.623, 
525, 262500, -132.570, 22.109,  0.198, 
525, 262500, -134.037, 25.578,  0.028, 
525, 262500, -134.262, 25.897, -0.280, 
525, 262500, -134.432, 26.211,  0.031, 
525, 262500, -134.074, 25.631,  0.037, 
